!SIL 1.0	sil
<UNK> 1.0	spn
niosące	1.0	n i o s oc5 c e
barw	1.0	b a r v
rewolucji	1.0	r e v o l u c j i
bezsensownej	1.0	b e z s e n s o v n e j
zawieść	1.0	z a v i e sj tsj
oddali	1.0	o d d a l j
1999	1.0	v i eo5 t eo5 tsj eo5 tsj
imprezy	1.0	i m p r e z i2
wodzie	1.0	v o dzj e
latają	1.0	l a t a j oc5
indywidualnych	1.0	i n d i2 v i d u a l n i2 h
zamówić	1.0	z a m u v i tsj
wie	1.0	v i e
poczuła	1.0	p o tS u w a
klawisz	1.0	k l a v i S
obiecujące	1.0	o b i e c u j oc5 c e
rozkrzyżowanymi	1.0	r o z k S i2 Z o v a n i2 m i
wracała	1.0	v r a c a w a
wszelakim	1.0	v S e l a k i m
ten	1.0	t e n
horyzonty	1.0	h o r i2 z o n t i2
powiedziane	1.0	p o v i e dzj a n e
rozważamy	1.0	r o z v a Z a m i2
50-metre	1.0	p i t m e t r e
wyznana	1.0	v i2 z n a n a
izby	1.0	i z b i2
wyraźnie	1.0	v i2 r a zj n i e
pozwalającym	1.0	p o z v a l a j oc5 c i2 m
ogarniętej	1.0	o g a r n i eo5 t e j
liturgiii	1.0	l j t u r g i i i
zaletą	1.0	z a l e t oc5
chama	1.0	h a m a
naszych	1.0	n a S i2 h
niewygód	1.0	n i e v i2 g u d
pierwszej	1.0	p i e r v S e j
obliczu	1.0	o b l j tS u
ale	1.0	a l e
słuchacze	1.0	s w u h a tS e
rodziny	1.0	r o dzj i n i2
dociera	1.0	d o tsj e r a
bestselleru	1.0	b e s t s e l l e r u
epoce	1.0	e p o c e
picie	1.0	p i tsj e
depresję	1.0	d e p r e s j e
siedział	1.0	sj e dzj a w
długości	1.0	d w u g o sj tsj i
lepiej-	1.0	l e p i e j e
stanowią	1.0	s t a n o v i oc5
wcale	1.0	v c a l e
majątkowych	1.0	m a j oc5 t k o v i2 h
śmierć-	1.0	sj m i e r tsj e
skórę	1.0	s k u r e
wolałabym	1.0	v o l a w a b i2 m
agitacja	1.0	a g i t a c j a
utratą	1.0	u t r a t oc5
sartre	1.0	s a r t r e
otwiera	1.0	o t f i e r a
usypano	1.0	u s i2 p a n o
wydartych	1.0	v i2 d a r t i2 h
kiełpie	1.0	k i e w p i e
sternika	1.0	s t e r n i k a
miał	1.0	m i a w
niekiedy	1.0	n i e k i e d i2
pirat	1.0	p i r a t
idziemy	1.0	i dzj e m i2
szacuje	1.0	S a c u j e
spełnić	1.0	s p e w n i tsj
ja-	1.0	j a e
kocham	1.0	k o h a m
włosy	1.0	v w o s i2
wymagają	1.0	v i2 m a g a j oc5
jesteśmy	1.0	j e s t e sj m i2
rozumem	1.0	r o z u m e m
modne	1.0	m o d n e
talentu	1.0	t a l e n t u
marie	1.0	m a r j e
płacz	1.0	p w a tS
dwory	1.0	d v o r i2
ktoś	1.0	k t o sj
zupy	1.0	z u p i2
krokodylek	1.0	k r o k o d i2 l e k
męskie-	1.0	m eo5 s k i e e
fiodora	1.0	f i o d o r a
niweczyły	1.0	n i v e tS i2 w i2
albo	1.0	a l b o
symbole	1.0	s i2 m b o l e
każdego	1.0	k a Z d e g o
zrozumiałe	1.0	z r o z u m i a w e
smutek	1.0	s m u t e k
wyobraźni	1.0	v i2 o b r a zj n i
znalazł	1.0	z n a l a z w
pozbawioną	1.0	p o z b a v i o n oc5
nieskończoną	1.0	n i e s k o n~ tS o n oc5
spojrzeniem	1.0	s p o j Z e n i e m
chorobę	1.0	h o r o b e
muzyce	1.0	m u z i2 c e
spotkanie	1.0	s p o t k a n i e
nasza	1.0	n a S a
go	1.0	g o
drżała	1.0	d r Z a w a
rozłożony	1.0	r o z w o Z o n i2
amerykance	1.0	a m e r i2 k a n c e
pisarską	1.0	p i s a r s k oc5
zawód	1.0	z a v u d
idealnie	1.0	i d e a l n i e
obmierzły	1.0	o b m i e Z w i2
żel	1.0	Z e l
zwiększy	1.0	z v i eo5 k S i2
między	1.0	m i eo5 dz i2
indziej	1.0	i n dzj e j
obfitość	1.0	o b f i t o sj tsj
zauważyłem	1.0	z a u v a Z i2 w e m
stała	1.0	s t a w a
zaśpiewają	1.0	z a sj p i e v a j oc5
pragnie	1.0	p r a g n i e
sterowania	1.0	s t e r o v a n i a
nośnikiem	1.0	n o sj n i k i e m
wyrasta	1.0	v i2 r a s t a
najgłośniejszym	1.0	n a j g w o sj n i e j S i2 m
wymijającą	1.0	v i2 m i j a j oc5 c oc5
wystarczył	1.0	v i2 s t a r tS i2 w
wesprzeć	1.0	v e s p S e tsj
opadły	1.0	o p a d w i2
blask	1.0	b l a s k
martwą	1.0	m a r t f oc5
jadło	1.0	j a d w o
matematycznej	1.0	m a t e m a t i2 tS n e j
naszą	1.0	n a S oc5
gównem	1.0	g u v n e m
niepogrzebane	1.0	n i e p o g Z e b a n e
la	1.0	l a
zdań	1.0	z d a n~
dodaj	1.0	d o d a j
głębiej	1.0	g w eo5 b i e j
zabłysnąć	1.0	z a b w i2 s n oc5 tsj
polifoniczne	1.0	p o l j f o n i tS n e
zaplanowanego	1.0	z a p l a n o v a n e g o
jezus	1.0	j e z u s
chełmna	1.0	h e w m n a
prawideł	1.0	p r a v i d e w
użytkowników	1.0	u Z i2 t k o v n i k u v
żyć	1.0	Z i2 tsj
byłbym	1.0	b i2 w b i2 m
mieszankę	1.0	m i e S a n k e
ilością	1.0	i l o sj tsj oc5
karmy	1.0	k a r m i2
postanowienia	1.0	p o s t a n o v i e n i a
poznawać	1.0	p o z n a v a tsj
wszystkim	1.0	v S i2 s t k i m
insygnia	1.0	i n s i2 g n i a
odwet-	1.0	o d v e t
modlitwa	1.0	m o d l j t f a
dźwięk	1.0	dzj v i eo5 k
bezpiecznie	1.0	b e z p i e tS n i e
wdzierała	1.0	v dzj e r a w a
kapeluszy	1.0	k a p e l u S i2
rozpoznać	1.0	r o z p o z n a tsj
drzwi	1.0	d Z v i
miłą	1.0	m i w oc5
rolników	1.0	r o l n i k u v
spektakl	1.0	s p e k t a k l
ciemnością	1.0	tsj e m n o sj tsj oc5
dlatego	1.0	d l a t e g o
pytanie	1.0	p i2 t a n i e
pół	1.0	p u w
wcielić	1.0	v tsj e l j tsj
najczęściej	1.0	n a j tS eo5 sj tsj e j
nawozem	1.0	n a v o z e m
daje	1.0	d a j e
15	1.0	s t n tsj
wyposażonych	1.0	v i2 p o s a Z o n i2 h
tworzyć	1.0	t f o Z i2 tsj
niemożliwe	1.0	n i e m o Z l j v e
tańcujące	1.0	t a n~ c u j oc5 c e
początek	1.0	p o tS oc5 t e k
wjazd	1.0	v j a z d
bożych	1.0	b o Z i2 h
trzynastego	1.0	t S i2 n a s t e g o
samotności	1.0	s a m o t n o sj tsj i
cia	1.0	tsj a
sekrety	1.0	s e k r e t i2
ciekawą	1.0	tsj e k a v oc5
rozmaitości	1.0	r o z m a i t o sj tsj i
innych	1.0	i n n i2 h
nigdzie	1.0	n i g dzj e
wes	1.0	v e s
lustrze	1.0	l u s t S e
nagle	1.0	n a g l e
we	1.0	v e
wyrazem	1.0	v i2 r a z e m
osiągnę	1.0	o tsj oc5 g n e
kultury	1.0	k u l t u r i2
l'oreal	1.0	l o r e a l
państwowej	1.0	p a n~ s t f o v e j
wariant	1.0	v a r j a n t
fragonarda	1.0	f r a g o n a r d a
kariera	1.0	k a r j e r a
wroga	1.0	v r o g a
aktualnym	1.0	a k t u a l n i2 m
piszczel	1.0	p i S tS e l
udźwignie	1.0	u dzj v i g n i e
2,3	1.0	d S i2
wprost	1.0	v p r o s t
przyszłość	1.0	p S i2 S w o sj tsj
zdmuchnąć	1.0	z d m u h n oc5 tsj
niewielkich	1.0	n i e v i e l k i h
niezapomniane	1.0	n i e z a p o m n i a n e
kosmosu	1.0	k o s m o s u
ciekawa	1.0	tsj e k a v a
ukradkiem	1.0	u k r a t k i e m
broń	1.0	b r o n~
17	1.0	s t e
chrztu	1.0	h Z t u
ostępów	1.0	o s t eo5 p u v
doświadczony	1.0	d o sj v i a d tS o n i2
adwokatem	1.0	a d v o k a t e m
podnosząca	1.0	p o d n o S oc5 c a
wiedzą	1.0	v i e dz oc5
scenie	1.0	s c e n i e
efekt	1.0	e f e k t
tylko	1.0	t i2 l k o
proste	1.0	p r o s t e
zaczął	1.0	z a tS oc5 w
św	1.0	sj v
zostaje	1.0	z o s t a j e
musiałem	1.0	m u tsj a w e m
wygrywała	1.0	v i2 g r i2 v a w a
operuje	1.0	o p e r u j e
krainę	1.0	k r a i n e
walki	1.0	v a l k i
oblężeniach	1.0	o b l eo5 Z e n i a h
historii	1.0	h j s t o r j i
wygnieciesz	1.0	v i2 g n i e tsj e S
centralny	1.0	c e n t r a l n i2
drżące	1.0	d r Z oc5 c e
krwi	1.0	k r v i
słońca	1.0	s w o n~ c a
adaptacja	1.0	a d a p t a c j a
mullins	1.0	m u l l j n s
scenografię	1.0	s c e n o g r a f i e
chemiczny	1.0	h e m i tS n i2
związku	1.0	z v i oc5 z k u
zauważ	1.0	z a u v a S
uśmiechu	1.0	u sj m i e h u
wszechświatów	1.0	v S e h sj v i a t u v
przydatne	1.0	p S i2 d a t n e
wykazały	1.0	v i2 k a z a w i2
gazetą	1.0	g a z e t oc5
sieczkowska	1.0	sj e tS k o v s k a
niebycie	1.0	n i e b i2 tsj e
chichen	1.0	h j h e n
zadaniom	1.0	z a d a n i o m
stan	1.0	s t a n
niby	1.0	n i b i2
sztuką	1.0	S t u k oc5
bogów	1.0	b o g u v
przypadkowych	1.0	p S i2 p a t k o v i2 h
interesować	1.0	i n t e r e s o v a tsj
bóg	1.0	b u g
pochówku	1.0	p o h u v k u
wypiera	1.0	v i2 p i e r a
włączona	1.0	v w oc5 tS o n a
duma	1.0	d u m a
pastować	1.0	p a s t o v a tsj
zwykłego	1.0	z v i2 k w e g o
sprawom	1.0	s p r a v o m
użyła	1.0	u Z i2 w a
przetargi	1.0	p S e t a r g i
wagę	1.0	v a g e
radosną	1.0	r a d o s n oc5
wydawały	1.0	v i2 d a v a w i2
brzydkie	1.0	b Z i2 t k i e
trzymać	1.0	t S i2 m a tsj
łamać	1.0	w a m a tsj
widok	1.0	v i d o k
znakiem	1.0	z n a k i e m
postawienie	1.0	p o s t a v i e n i e
sądem	1.0	s oc5 d e m
wywlekli	1.0	v i2 v l e k l j
ii	1.0	i i
królewski	1.0	k r u l e v s k i
nadawało	1.0	n a d a v a w o
pyszne	1.0	p i2 S n e
podbity	1.0	p o d b i t i2
życiu	1.0	Z i2 tsj u
obiektywny	1.0	o b i e k t i2 v n i2
przemyślną	1.0	p S e m i2 sj l n oc5
kolejną	1.0	k o l e j n oc5
spodziewasz	1.0	s p o dzj e v a S
ręka	1.0	r eo5 k a
śnisz	1.0	sj n i S
arystokrata	1.0	a r i2 s t o k r a t a
nadużywania	1.0	n a d u Z i2 v a n i a
rozwagę	1.0	r o z v a g e
radości	1.0	r a d o sj tsj i
kompleksu	1.0	k o m p l e k s u
jednozdaniowej	1.0	j e d n o z d a n i o v e j
obraz	1.0	o b r a z
powtarzanie	1.0	p o v t a Z a n i e
zwierzęcą	1.0	z v i e Z eo5 c oc5
rozbiegli	1.0	r o z b i e g l j
pastelowej	1.0	p a s t e l o v e j
mieć	1.0	m i e tsj
wzmógł	1.0	v z m u g w
stu	1.0	s t u
zamianę	1.0	z a m i a n e
piękną	1.0	p i eo5 k n oc5
tyran	1.0	t i2 r a n
bułhakowa	1.0	b u w h a k o v a
wszak	1.0	v S a k
kroki	1.0	k r o k i
identyczna	1.0	i d e n t i2 tS n a
współpracowali	1.0	v s p u w p r a c o v a l j
nowej	1.0	n o v e j
wojtku	1.0	v o j t k u
zaszczepiać	1.0	z a S tS e p i a tsj
pewni	1.0	p e v n i
wypadku	1.0	v i2 p a t k u
drugi	1.0	d r u g i
utracą	1.0	u t r a c oc5
wyspiańskiego	1.0	v i2 s p i a n~ s k i e g o
podobnej	1.0	p o d o b n e j
jakimś	1.0	j a k i m sj
bohaterów-	1.0	b o h a t e r u v
składnik	1.0	s k w a d n i k
simów	1.0	sj i m u v
rzęsy	1.0	Z eo5 s i2
tchnienie	1.0	t h n i e n i e
słowian	1.0	s w o v i a n
nieliczni	1.0	n i e l j tS n i
miara	1.0	m i a r a
oddanego	1.0	o d d a n e g o
wiele	1.0	v i e l e
pewnego	1.0	p e v n e g o
znawcy	1.0	z n a v c i2
ponętna	1.0	p o n eo5 t n a
powszechna	1.0	p o v S e h n a
zafundowaliśmy	1.0	z a f u n d o v a l j sj m i2
twarzy	1.0	t f a Z i2
b-2	1.0	b e o d
pierwszy	1.0	p i e r v S i2
leczą	1.0	l e tS oc5
her	1.0	h e r
zda	1.0	z d a
heisenberga	1.0	h e i s e n b e r g a
błysk	1.0	b w i2 s k
struktura	1.0	s t r u k t u r a
owiń	1.0	o v i n~
sypkim	1.0	s i2 p k i m
bolesną	1.0	b o l e s n oc5
wody	1.0	v o d i2
komentatorzy	1.0	k o m e n t a t o Z i2
zrekompensować	1.0	z r e k o m p e n s o v a tsj
nie	1.0	n i e
twórcy	1.0	t f u r c i2
stanem	1.0	s t a n e m
szkole	1.0	S k o l e
kartkach	1.0	k a r t k a h
wyobraziłam	1.0	v i2 o b r a zj i w a m
ciekawsze	1.0	tsj e k a v S e
dużo	1.0	d u Z o
tarcia	1.0	t a r tsj a
świat	1.0	sj v i a t
dumanie	1.0	d u m a n i e
czegoś	1.0	tS e g o sj
zmaganiach	1.0	z m a g a n i a h
tak	1.0	t a k
seksu	1.0	s e k s u
korbę	1.0	k o r b e
oczywistym	1.0	o tS i2 v i s t i2 m
ma	1.0	m a
każdym	1.0	k a Z d i2 m
iluminacja	1.0	i l u m i n a c j a
kolana	1.0	k o l a n a
wymiar	1.0	v i2 m i a r
futro	1.0	f u t r o
wiedział	1.0	v i e dzj a w
chcę	1.0	h c e
wyślizgane	1.0	v i2 sj l j z g a n e
kamienne	1.0	k a m i e n n e
okrążała	1.0	o k r oc5 Z a w a
ulokowanej	1.0	u l o k o v a n e j
smażonych	1.0	s m a Z o n i2 h
zostać	1.0	z o s t a tsj
przodu	1.0	p S o d u
testujący	1.0	t e s t u j oc5 c i2
lat	1.0	l a t
pląsająca	1.0	p l oc5 s a j oc5 c a
tyle	1.0	t i2 l e
wyczerpię	1.0	v i2 tS e r p i e
pytam	1.0	p i2 t a m
wymaga	1.0	v i2 m a g a
odłogiem	1.0	o d w o g i e m
spostrzeżenia	1.0	s p o s t S e Z e n i a
nieprzezroczystości	1.0	n i e p S e z r o tS i2 s t o sj tsj i
milczenia	1.0	m i l tS e n i a
peruk	1.0	p e r u k
myśleniu	1.0	m i2 sj l e n i u
szczery	1.0	S tS e r i2
przemienił	1.0	p S e m i e n i w
otworem	1.0	o t f o r e m
towarzysz	1.0	t o v a Z i2 S
kiwają	1.0	k i v a j oc5
młodsza	1.0	m w o d S a
głos	1.0	g w o s
znajdzie	1.0	z n a j dzj e
czekającą	1.0	tS e k a j oc5 c oc5
szczególnie	1.0	S tS e g u l n i e
piany	1.0	p i a n i2
drzew	1.0	d Z e v
tamten	1.0	t a m t e n
romantyczne	1.0	r o m a n t i2 tS n e
kategoriach	1.0	k a t e g o r j a h
niebiesiech	1.0	n i e b i e sj e h
nieczytelna	1.0	n i e tS i2 t e l n a
italią	1.0	i t a l j oc5
człowieka	1.0	tS w o v i e k a
scenę	1.0	s c e n e
robi	1.0	r o b i
przyjętej	1.0	p S i2 j eo5 t e j
zapraszając	1.0	z a p r a S a j oc5 c
biorą	1.0	b i o r oc5
zaułka	1.0	z a u w k a
ciężarów	1.0	tsj eo5 Z a r u v
muskaj	1.0	m u s k a j
figury	1.0	f i g u r i2
misiury	1.0	m i sj u r i2
gigantyczną	1.0	g i g a n t i2 tS n oc5
miód	1.0	m i u d
seks	1.0	s e k s
łaskawe	1.0	w a s k a v e
doskonałe	1.0	d o s k o n a w e
lirę	1.0	l j r e
teraz	1.0	t e r a z
telewizyjnych	1.0	t e l e v i z i2 j n i2 h
uważam	1.0	u v a Z a m
kawy	1.0	k a v i2
najprościej	1.0	n a j p r o sj tsj e j
domagają	1.0	d o m a g a j oc5
aleksiej	1.0	a l e k sj e j
starym	1.0	s t a r i2 m
filtry	1.0	f i l t r i2
per	1.0	p e r
sprawnie	1.0	s p r a v n i e
obejrzysz	1.0	o b e j Z i2 S
spłacheć	1.0	s p w a h e tsj
pogarda-	1.0	p o g a r d a e
johnston	1.0	j o h n s t o n
obozu	1.0	o b o z u
wacława	1.0	v a c w a v a
kwiaty	1.0	k f i a t i2
grafomanią	1.0	g r a f o m a n i oc5
kitzbuhl	1.0	k i t z b u h l
zdarzało	1.0	z d a Z a w o
zostawiam	1.0	z o s t a v i a m
ludzkie	1.0	l u dz k i e
przycisk2_1	1.0	p S i2 tsj i s k d v a tS t
poczytnością	1.0	p o tS i2 t n o sj tsj oc5
gierka	1.0	g i e r k a
wittgenstein	1.0	v i t t g e n s t e i n
poznając	1.0	p o z n a j oc5 c
odrobiną	1.0	o d r o b i n oc5
ziemiom	1.0	zj e m i o m
angleberta	1.0	a n g l e b e r t a
przypadek	1.0	p S i2 p a d e k
jedną	1.0	j e d n oc5
chińskiemu	1.0	h j n~ s k i e m u
czyny	1.0	tS i2 n i2
otaczane	1.0	o t a tS a n e
przycisnął	1.0	p S i2 tsj i s n oc5 w
piętra	1.0	p i eo5 t r a
poszukiwania	1.0	p o S u k i v a n i a
dziw	1.0	dzj i v
zażywa	1.0	z a Z i2 v a
wprowadźmy	1.0	v p r o v a dzj m i2
instruujecie	1.0	i n s t r u u j e tsj e
zawiódł	1.0	z a v i u d w
realnym	1.0	r e a l n i2 m
możliwości	1.0	m o Z l j v o sj tsj i
blush	1.0	b l u s h
pisania	1.0	p i s a n i a
przypadkach	1.0	p S i2 p a t k a h
bootującej	1.0	b o o t u j oc5 c e j
zrobić	1.0	z r o b i tsj
boją	1.0	b o j oc5
złorzeczenie	1.0	z w o Z e tS e n i e
rękę	1.0	r eo5 k e
łoskotem	1.0	w o s k o t e m
elementarne	1.0	e l e m e n t a r n e
wierząc	1.0	v i e Z oc5 c
nastroił	1.0	n a s t r o i w
złudzeń	1.0	z w u dz e n~
zerkać	1.0	z e r k a tsj
drivemapper	1.0	d r j f e m a p p e r
wszystkiego	1.0	v S i2 s t k i e g o
czeluści	1.0	tS e l u sj tsj i
ode	1.0	o d e
dalekie	1.0	d a l e k i e
zmiana	1.0	z m i a n a
odważyłem	1.0	o d v a Z i2 w e m
krzywdy	1.0	k S i2 v d i2
he	1.0	h e
zjedzeniu	1.0	z j e dz e n i u
dziennikarzy	1.0	dzj e n n i k a Z i2
ofert	1.0	o f e r t
pierwsza	1.0	p i e r v S a
ohydny	1.0	o h i2 d n i2
całym	1.0	c a w i2 m
samego	1.0	s a m e g o
myśl	1.0	m i2 sj l
pozycja	1.0	p o z i2 c j a
zdobył	1.0	z d o b i2 w
miało	1.0	m i a w o
grzechu	1.0	g Z e h u
wieku	1.0	v i e k u
zza	1.0	z z a
suchej	1.0	s u h e j
stopy	1.0	s t o p i2
policzkach	1.0	p o l j tS k a h
this	1.0	t h j s
lecz	1.0	l e tS
wzajemnego	1.0	v z a j e m n e g o
pomidorówką	1.0	p o m i d o r u v k oc5
utworzyliśmy	1.0	u t f o Z i2 l j sj m i2
pytania	1.0	p i2 t a n i a
pomyślałem	1.0	p o m i2 sj l a w e m
możliwy	1.0	m o Z l j v i2
tryb	1.0	t r i2 b
błędnym	1.0	b w eo5 d n i2 m
zwracamy	1.0	z v r a c a m i2
reżyserem	1.0	r e Z i2 s e r e m
przygotowałam	1.0	p S i2 g o t o v a w a m
pirata	1.0	p i r a t a
bełku	1.0	b e w k u
metafora	1.0	m e t a f o r a
bramą	1.0	b r a m oc5
obsługi	1.0	o b s w u g i
ról	1.0	r u l
niepyszni	1.0	n i e p i2 S n i
sufitu	1.0	s u f i t u
możesz	1.0	m o Z e S
drzewa	1.0	d Z e v a
przyspieszać	1.0	p S i2 s p i e S a tsj
duchowego	1.0	d u h o v e g o
zastawił	1.0	z a s t a v i w
brzmi	1.0	b Z m i
wypełnić	1.0	v i2 p e w n i tsj
zatrzymanych	1.0	z a t S i2 m a n i2 h
jakiś	1.0	j a k i sj
śledztwo	1.0	sj l e dz t f o
poczujesz	1.0	p o tS u j e S
złudzenia	1.0	z w u dz e n i a
wciągnij	1.0	v tsj oc5 g n i j
starożytne	1.0	s t a r o Z i2 t n e
chroni	1.0	h r o n i
annette	1.0	a n n e t t e
fizyki	1.0	f i z i2 k i
chwilami	1.0	h v i l a m i
polskie	1.0	p o l s k i e
podbródek	1.0	p o d b r u d e k
psa	1.0	p s a
zakrawa	1.0	z a k r a v a
jakiegoś	1.0	j a k i e g o sj
jazda	1.0	j a z d a
hipoteza	1.0	h j p o t e z a
puchar	1.0	p u h a r
jakaś	1.0	j a k a sj
ho	1.0	h o
podnoszenie	1.0	p o d n o S e n i e
obrazy	1.0	o b r a z i2
97	1.0	eo5 t e
20	1.0	d t
systemem	1.0	s i2 s t e m e m
cichutku	1.0	tsj i h u t k u
momenty	1.0	m o m e n t i2
docierają	1.0	d o tsj e r a j oc5
miejsca	1.0	m i e j s c a
teorią	1.0	t e o r j oc5
skasowanie	1.0	s k a s o v a n i e
odważnych	1.0	o d v a Z n i2 h
ludzie	1.0	l u dzj e
masowymi	1.0	m a s o v i2 m i
starcia	1.0	s t a r tsj a
religijny	1.0	r e l j g i j n i2
zadawać	1.0	z a d a v a tsj
modlitwy	1.0	m o d l j t f i2
spostrzegłem	1.0	s p o s t S e g w e m
mało	1.0	m a w o
około	1.0	o k o w o
elementy	1.0	e l e m e n t i2
niecną	1.0	n i e c n oc5
zrobiłaś	1.0	z r o b i w a sj
widziałaś	1.0	v i dzj a w a sj
tarcic	1.0	t a r tsj i c
obudziła	1.0	o b u dzj i w a
których	1.0	k t u r i2 h
buntowniczy	1.0	b u n t o v n i tS i2
miniaturowym	1.0	m i n i a t u r o v i2 m
jakieś	1.0	j a k i e sj
obcowanie	1.0	o b c o v a n i e
przysypanie	1.0	p S i2 s i2 p a n i e
dotyczą	1.0	d o t i2 tS oc5
zalewała	1.0	z a l e v a w a
dotyk	1.0	d o t i2 k
reese	1.0	r e e s e
przemocy	1.0	p S e m o c i2
szybkich	1.0	S i2 b k i h
powstając	1.0	p o v s t a j oc5 c
wrażliwości	1.0	v r a Z l j v o sj tsj i
zdobyć	1.0	z d o b i2 tsj
wytępienie	1.0	v i2 t eo5 p i e n i e
przesuwamy	1.0	p S e s u v a m i2
raną	1.0	r a n oc5
złożonej	1.0	z w o Z o n e j
pomagać	1.0	p o m a g a tsj
długo	1.0	d w u g o
fragmentami	1.0	f r a g m e n t a m i
przebywają	1.0	p S e b i2 v a j oc5
dlaczego	1.0	d l a tS e g o
aktywnego	1.0	a k t i2 v n e g o
rozwiązania	1.0	r o z v i oc5 z a n i a
żelastwa	1.0	Z e l a s t f a
sjl	1.0	s j l
czucie	1.0	tS u tsj e
polegają	1.0	p o l e g a j oc5
nimi	1.0	n i m i
niespodzianki	1.0	n i e s p o dzj a n k i
stole	1.0	s t o l e
wniosku	1.0	v n i o s k u
polchowa	1.0	p o l h o v a
najlepszą	1.0	n a j l e p S oc5
utratę	1.0	u t r a t e
projekt	1.0	p r o j e k t
potworem	1.0	p o t f o r e m
otwartego	1.0	o t f a r t e g o
współpracowników	1.0	v s p u w p r a c o v n i k u v
im	1.0	i m
poprosił	1.0	p o p r o sj i w
biurowego	1.0	b i u r o v e g o
bezbrzeżniej	1.0	b e z b Z e Z n i e j
czuje	1.0	tS u j e
pracy	1.0	p r a c i2
tammona	1.0	t a m m o n a
kolejnych	1.0	k o l e j n i2 h
cię	1.0	tsj i e
podatku	1.0	p o d a t k u
wysłany	1.0	v i2 s w a n i2
doświadczałeś	1.0	d o sj v i a d tS a w e sj
nicości	1.0	n i c o sj tsj i
wieczności	1.0	v i e tS n o sj tsj i
przestrzeń	1.0	p S e s t S e n~
kopalni	1.0	k o p a l n i
urządzenie	1.0	u Z oc5 dz e n i e
włos	1.0	v w o s
steczkowska	1.0	s t e tS k o v s k a
często	1.0	tS eo5 s t o
przepisywali	1.0	p S e p i s i2 v a l j
zaradcze	1.0	z a r a d tS e
wrażenie	1.0	v r a Z e n i e
notowałem	1.0	n o t o v a w e m
źrenice	1.0	zj r e n i c e
głośników	1.0	g w o sj n i k u v
shop	1.0	s h o p
płycie	1.0	p w i2 tsj e
zamkniętych-	1.0	z a m k n i eo5 t i2 h e
łososi	1.0	w o s o sj i
cantilena	1.0	c a n t j l e n a
wzruszyło	1.0	v z r u S i2 w o
marynarki	1.0	m a r i2 n a r k i
księgą	1.0	k sj eo5 g oc5
odsłonięcie	1.0	o d s w o n i eo5 tsj e
zawarciu	1.0	z a v a r tsj u
czasów	1.0	tS a s u v
pochodzi	1.0	p o h o dzj i
sukcesu	1.0	s u k c e s u
lotus	1.0	l o t u s
węża	1.0	v eo5 Z a
ing	1.0	i n g
sens	1.0	s e n s
problemem	1.0	p r o b l e m e m
razy	1.0	r a z i2
przebaczałeś	1.0	p S e b a tS a w e sj
wojtek	1.0	v o j t e k
fotograficznej	1.0	f o t o g r a f i tS n e j
wiekuisty	1.0	v i e k u i s t i2
traktuje	1.0	t r a k t u j e
kobiet	1.0	k o b i e t
chińczycy	1.0	h j n~ tS i2 c i2
zapisów	1.0	z a p i s u v
ówdzie	1.0	u v dzj e
funkcją	1.0	f u n k c j oc5
filmów	1.0	f i l m u v
potęgi	1.0	p o t eo5 g i
świece	1.0	sj v i e c e
kota	1.0	k o t a
przeżywając	1.0	p S e Z i2 v a j oc5 c
model	1.0	m o d e l
dialektycznie	1.0	d j a l e k t i2 tS n i e
okaże	1.0	o k a Z e
akuszera	1.0	a k u S e r a
stanowił	1.0	s t a n o v i w
ojczyzny	1.0	o j tS i2 z n i2
daleka	1.0	d a l e k a
brudów	1.0	b r u d u v
ubrany	1.0	u b r a n i2
stalowe	1.0	s t a l o v e
krescencjusza	1.0	k r e s c e n c j u S a
ciągu	1.0	tsj oc5 g u
kaszubi	1.0	k a S u b i
najniższy	1.0	n a j n i Z S i2
związkiem	1.0	z v i oc5 z k i e m
galaktyk	1.0	g a l a k t i2 k
cosmowskazówka	1.0	c o s m o v s k a z u v k a
obozowisk	1.0	o b o z o v i s k
pqboot	1.0	p k b o o t
jakąś	1.0	j a k oc5 sj
reakcji	1.0	r e a k c j i
gmach	1.0	g m a h
eurydyce	1.0	e u r i2 d i2 c e
obraca	1.0	o b r a c a
reagujesz	1.0	r e a g u j e S
kiedyś	1.0	k i e d i2 sj
uczestników	1.0	u tS e s t n i k u v
opuszczała	1.0	o p u S tS a w a
poeta	1.0	p o e t a
męki	1.0	m eo5 k i
bytów	1.0	b i2 t u v
życzliwość	1.0	Z i2 tS l j v o sj tsj
dziesiątkuje	1.0	dzj e tsj oc5 t k u j e
czytelnik	1.0	tS i2 t e l n i k
lutym	1.0	l u t i2 m
sił	1.0	sj i w
krańce	1.0	k r a n~ c e
jeleń	1.0	j e l e n~
siera	1.0	sj e r a
chciała	1.0	h tsj a w a
delikatnie	1.0	d e l j k a t n i e
dieta	1.0	d j e t a
ostatnią	1.0	o s t a t n i oc5
animacje	1.0	a n i m a c j e
męskim	1.0	m eo5 s k i m
dziwaczny	1.0	dzj i v a tS n i2
metodycznemu	1.0	m e t o d i2 tS n e m u
trzecia	1.0	t S e tsj a
musiało	1.0	m u tsj a w o
zainteresowania	1.0	z a i n t e r e s o v a n i a
byłem	1.0	b i2 w e m
nieprzegotowanej	1.0	n i e p S e g o t o v a n e j
lata-	1.0	l a t a e
zadowolenia	1.0	z a d o v o l e n i a
kopią	1.0	k o p i oc5
pomoże	1.0	p o m o Z e
